episode,phase,total_reward,steps,epsilon,success
1,warmup,-1149.0000,350,0.999500,0
2,warmup,-1044.0000,350,0.999000,0
3,warmup,-543.0000,260,0.998501,1
4,warmup,-1048.0000,350,0.998001,0
5,warmup,-1255.0000,350,0.997502,0
6,warmup,-874.0000,350,0.997004,0
7,warmup,-647.0000,288,0.996505,1
8,warmup,-942.0000,350,0.996007,0
9,warmup,-1170.0000,350,0.995509,0
10,warmup,-854.0000,350,0.995011,0
11,warmup,-53.0000,93,0.994514,1
12,warmup,-217.0000,143,0.994016,1
13,warmup,-861.0000,274,0.993519,1
14,warmup,-335.0000,109,0.993023,1
15,warmup,-785.0000,293,0.992526,1
16,warmup,-1204.0000,350,0.992030,0
17,warmup,-37.0000,77,0.991534,1
18,warmup,-828.0000,350,0.991038,0
19,warmup,-663.0000,209,0.990543,1
20,warmup,-1280.0000,350,0.990047,0
21,warmup,-105.0000,69,0.989552,1
22,warmup,-1043.0000,350,0.989058,0
23,warmup,-821.0000,329,0.988563,1
24,warmup,-984.0000,350,0.988069,0
25,warmup,-963.0000,350,0.987575,0
26,warmup,-752.0000,350,0.987081,0
27,warmup,-729.0000,294,0.986587,1
28,warmup,-917.0000,350,0.986094,0
29,warmup,-1090.0000,350,0.985601,0
30,warmup,-935.0000,348,0.985108,1
31,warmup,-183.0000,90,0.984616,1
32,warmup,-649.0000,233,0.984123,1
33,warmup,-743.0000,289,0.983631,1
34,warmup,-980.0000,350,0.983140,0
35,warmup,-261.0000,111,0.982648,1
36,warmup,-517.0000,272,0.982157,1
37,warmup,-735.0000,148,0.981666,1
38,warmup,-87.0000,51,0.981175,1
39,warmup,-689.0000,349,0.980684,1
40,warmup,-533.0000,174,0.980194,1
41,warmup,-363.0000,137,0.979704,1
42,warmup,-77.0000,136,0.979214,1
43,warmup,-1189.0000,317,0.978724,1
44,warmup,-625.0000,247,0.978235,1
45,warmup,47.0000,88,0.977746,1
46,warmup,-853.0000,350,0.977257,0
47,warmup,-271.0000,159,0.976768,1
48,warmup,-1170.0000,350,0.976280,0
49,warmup,-211.0000,80,0.975792,1
50,warmup,-752.0000,350,0.975304,0
51,warmup,-1272.0000,350,0.974816,0
52,warmup,-581.0000,279,0.974329,1
53,warmup,-752.0000,350,0.973842,0
54,warmup,-169.0000,76,0.973355,1
55,warmup,-771.0000,203,0.972868,1
56,warmup,-447.0000,202,0.972382,1
57,warmup,-909.0000,265,0.971895,1
58,warmup,-159.0000,104,0.971409,1
59,warmup,-1107.0000,350,0.970924,0
60,warmup,-143.0000,88,0.970438,1
61,warmup,-209.0000,78,0.969953,1
62,warmup,-299.0000,168,0.969468,1
63,warmup,-748.0000,350,0.968983,0
64,warmup,-803.0000,350,0.968499,0
65,warmup,-971.0000,350,0.968015,0
66,warmup,-765.0000,350,0.967531,0
67,warmup,-959.0000,350,0.967047,0
68,warmup,-297.0000,166,0.966563,1
69,warmup,-309.0000,178,0.966080,1
70,warmup,-1039.0000,350,0.965597,0
71,warmup,-967.0000,350,0.965114,0
72,warmup,-705.0000,232,0.964632,1
73,warmup,-169.0000,133,0.964149,1
74,warmup,-1090.0000,350,0.963667,0
75,warmup,-619.0000,203,0.963185,1
76,warmup,-51.0000,53,0.962704,1
77,warmup,-721.0000,305,0.962222,1
78,warmup,-573.0000,252,0.961741,1
79,warmup,3.0000,56,0.961260,1
80,warmup,-824.0000,350,0.960780,0
81,warmup,11.0000,86,0.960299,1
82,warmup,-1154.0000,350,0.959819,0
83,warmup,-655.0000,350,0.959339,0
84,warmup,-181.0000,107,0.958860,1
85,warmup,-399.0000,249,0.958380,1
86,warmup,-359.0000,171,0.957901,1
87,warmup,-639.0000,280,0.957422,1
88,warmup,-930.0000,350,0.956943,0
89,warmup,-295.0000,164,0.956465,1
90,warmup,-599.0000,240,0.955987,1
91,warmup,-643.0000,322,0.955509,1
92,warmup,-714.0000,350,0.955031,0
93,warmup,-665.0000,249,0.954553,1
94,warmup,-7.0000,66,0.954076,1
95,warmup,-173.0000,156,0.953599,1
96,warmup,-680.0000,350,0.953122,0
97,warmup,-183.0000,109,0.952646,1
98,warmup,-293.0000,276,0.952169,1
99,warmup,-985.0000,350,0.951693,0
100,warmup,-1221.0000,350,0.951218,0
101,warmup,-257.0000,145,0.950742,1
102,warmup,-840.0000,350,0.950267,0
103,warmup,-790.0000,350,0.949791,0
104,warmup,-385.0000,216,0.949317,1
105,warmup,-875.0000,350,0.948842,0
106,warmup,-385.0000,140,0.948367,1
107,warmup,-55.0000,114,0.947893,1
108,warmup,-1073.0000,350,0.947419,0
109,warmup,-309.0000,197,0.946946,1
110,warmup,-1043.0000,350,0.946472,0
111,warmup,-988.0000,350,0.945999,0
112,warmup,-419.0000,193,0.945526,1
113,warmup,-675.0000,240,0.945053,1
114,warmup,-101.0000,84,0.944581,1
115,warmup,-387.0000,218,0.944108,1
116,warmup,-671.0000,293,0.943636,1
117,warmup,-867.0000,299,0.943164,1
118,warmup,-59.0000,99,0.942693,1
119,warmup,-609.0000,212,0.942222,1
120,warmup,-131.0000,171,0.941750,1
121,warmup,-634.0000,350,0.941280,0
122,warmup,-493.0000,172,0.940809,1
123,warmup,-37.0000,77,0.940338,1
124,warmup,-127.0000,110,0.939868,1
125,warmup,-305.0000,231,0.939398,1
126,warmup,-127.0000,91,0.938929,1
127,warmup,-27.0000,67,0.938459,1
128,warmup,-680.0000,350,0.937990,0
129,warmup,-211.0000,156,0.937521,1
130,warmup,-223.0000,130,0.937052,1
131,warmup,-75.0000,96,0.936584,1
132,warmup,-201.0000,108,0.936115,1
133,warmup,-820.0000,350,0.935647,0
134,warmup,-605.0000,284,0.935180,1
135,warmup,-145.0000,109,0.934712,1
136,warmup,-443.0000,255,0.934245,1
137,warmup,-269.0000,119,0.933777,1
138,warmup,-579.0000,182,0.933311,1
139,warmup,-97.0000,80,0.932844,1
140,warmup,-133.0000,192,0.932377,1
141,warmup,-157.0000,102,0.931911,1
142,warmup,-105.0000,88,0.931445,1
143,warmup,-131.0000,95,0.930980,1
144,warmup,-263.0000,189,0.930514,1
145,warmup,-828.0000,350,0.930049,0
146,warmup,-689.0000,292,0.929584,1
147,warmup,-665.0000,325,0.929119,1
148,warmup,-93.0000,95,0.928655,1
149,warmup,-777.0000,350,0.928190,0
150,warmup,7.0000,90,0.927726,1
151,warmup,-641.0000,206,0.927262,1
152,warmup,-75.0000,77,0.926799,1
153,warmup,-1107.0000,350,0.926335,0
154,warmup,-1065.0000,350,0.925872,0
155,warmup,-267.0000,117,0.925409,1
156,warmup,-209.0000,116,0.924946,1
157,warmup,-867.0000,261,0.924484,1
158,warmup,-309.0000,159,0.924022,1
159,warmup,67.0000,30,0.923560,1
160,warmup,-367.0000,141,0.923098,1
161,warmup,-301.0000,94,0.922636,1
162,warmup,-273.0000,123,0.922175,1
163,warmup,-849.0000,350,0.921714,0
164,warmup,-1175.0000,350,0.921253,0
165,warmup,-293.0000,219,0.920792,1
166,warmup,-197.0000,104,0.920332,1
167,warmup,-761.0000,350,0.919872,0
168,warmup,-399.0000,211,0.919412,1
169,warmup,-25.0000,84,0.918952,1
170,warmup,-727.0000,311,0.918493,1
171,warmup,-251.0000,196,0.918034,1
172,warmup,-161.0000,125,0.917574,1
173,warmup,-407.0000,162,0.917116,1
174,warmup,-127.0000,129,0.916657,1
175,warmup,-543.0000,260,0.916199,1
176,warmup,-185.0000,168,0.915741,1
177,warmup,-619.0000,279,0.915283,1
178,warmup,-145.0000,147,0.914825,1
179,warmup,-866.0000,350,0.914368,0
180,warmup,-181.0000,107,0.913911,1
181,warmup,-213.0000,120,0.913454,1
182,warmup,79.0000,37,0.912997,1
183,warmup,-243.0000,188,0.912540,1
184,warmup,-299.0000,130,0.912084,1
185,warmup,-281.0000,169,0.911628,1
186,warmup,-177.0000,122,0.911172,1
187,warmup,-1025.0000,324,0.910717,1
188,warmup,-71.0000,92,0.910261,1
189,warmup,-3.0000,81,0.909806,1
190,warmup,-909.0000,350,0.909351,0
191,warmup,-167.0000,112,0.908897,1
192,warmup,-795.0000,303,0.908442,1
193,warmup,-99.0000,120,0.907988,1
194,warmup,-745.0000,291,0.907534,1
195,warmup,-81.0000,121,0.907080,1
196,warmup,-1187.0000,350,0.906627,0
197,warmup,-15.0000,93,0.906173,1
198,warmup,-549.0000,190,0.905720,1
199,warmup,-205.0000,131,0.905267,1
200,warmup,-647.0000,193,0.904815,1
201,warmup,-483.0000,238,0.904362,1
202,warmup,-231.0000,119,0.903910,1
203,warmup,-239.0000,146,0.903458,1
204,warmup,-215.0000,84,0.903007,1
205,warmup,-137.0000,63,0.902555,1
206,warmup,-31.0000,71,0.902104,1
207,warmup,-519.0000,236,0.901653,1
208,warmup,-409.0000,164,0.901202,1
209,warmup,-69.0000,71,0.900751,1
210,warmup,-419.0000,117,0.900301,1
211,warmup,-57.0000,97,0.899851,1
212,warmup,-129.0000,93,0.899401,1
213,warmup,-333.0000,107,0.898951,1
214,warmup,-287.0000,118,0.898502,1
215,warmup,-559.0000,200,0.898052,1
216,warmup,-481.0000,274,0.897603,1
217,warmup,-355.0000,205,0.897155,1
218,warmup,-99.0000,196,0.896706,1
219,warmup,21.0000,76,0.896258,1
220,warmup,-339.0000,227,0.895809,1
221,warmup,-111.0000,132,0.895362,1
222,warmup,-451.0000,225,0.894914,1
223,warmup,-403.0000,253,0.894466,1
224,warmup,-81.0000,140,0.894019,1
225,warmup,-303.0000,172,0.893572,1
226,warmup,-561.0000,278,0.893125,1
227,warmup,-257.0000,221,0.892679,1
228,warmup,-735.0000,300,0.892233,1
229,warmup,13.0000,65,0.891786,1
230,warmup,49.0000,29,0.891341,1
231,warmup,-55.0000,76,0.890895,1
232,warmup,-97.0000,118,0.890449,1
233,warmup,-367.0000,198,0.890004,1
234,warmup,-121.0000,104,0.889559,1
235,warmup,-803.0000,350,0.889114,0
236,warmup,-17.0000,95,0.888670,1
237,warmup,-277.0000,108,0.888225,1
238,warmup,-435.0000,133,0.887781,1
239,warmup,-177.0000,84,0.887337,1
240,warmup,-57.0000,40,0.886894,1
241,warmup,-157.0000,140,0.886450,1
242,warmup,-35.0000,75,0.886007,1
243,warmup,-47.0000,144,0.885564,1
244,warmup,-11.0000,89,0.885121,1
245,warmup,-247.0000,192,0.884679,1
246,warmup,11.0000,48,0.884236,1
247,warmup,27.0000,70,0.883794,1
248,warmup,-603.0000,320,0.883352,1
249,warmup,-115.0000,79,0.882911,1
250,warmup,-65.0000,86,0.882469,1
251,warmup,-55.0000,114,0.882028,1
252,warmup,-509.0000,264,0.881587,1
253,warmup,-575.0000,350,0.881146,0
254,warmup,-798.0000,350,0.880706,0
255,warmup,5.0000,35,0.880265,1
256,warmup,-209.0000,116,0.879825,1
257,warmup,89.0000,46,0.879385,1
258,warmup,-173.0000,99,0.878946,1
259,warmup,-791.0000,350,0.878506,0
260,warmup,-363.0000,156,0.878067,1
261,warmup,-25.0000,65,0.877628,1
262,warmup,-151.0000,153,0.877189,1
263,warmup,-181.0000,88,0.876750,1
264,warmup,-395.0000,245,0.876312,1
265,warmup,-85.0000,68,0.875874,1
266,warmup,-257.0000,126,0.875436,1
267,warmup,-507.0000,338,0.874998,1
268,warmup,47.0000,69,0.874561,1
269,warmup,-373.0000,147,0.874123,1
270,warmup,-35.0000,94,0.873686,1
271,warmup,-351.0000,87,0.873250,1
272,warmup,-673.0000,238,0.872813,1
273,warmup,-383.0000,157,0.872377,1
274,warmup,-433.0000,207,0.871940,1
275,warmup,-285.0000,154,0.871504,1
276,warmup,-47.0000,87,0.871069,1
277,warmup,-85.0000,87,0.870633,1
278,warmup,-349.0000,161,0.870198,1
279,warmup,-45.0000,85,0.869763,1
280,warmup,-607.0000,267,0.869328,1
281,warmup,-295.0000,107,0.868893,1
282,warmup,-43.0000,102,0.868459,1
283,warmup,-333.0000,164,0.868024,1
284,warmup,29.0000,87,0.867590,1
285,warmup,-229.0000,117,0.867157,1
286,warmup,-127.0000,110,0.866723,1
287,warmup,-295.0000,164,0.866290,1
288,warmup,-375.0000,187,0.865857,1
289,warmup,63.0000,53,0.865424,1
290,warmup,-433.0000,207,0.864991,1
291,warmup,-119.0000,64,0.864558,1
292,warmup,-317.0000,281,0.864126,1
293,warmup,-119.0000,83,0.863694,1
294,warmup,-123.0000,87,0.863262,1
295,warmup,-37.0000,77,0.862831,1
296,warmup,-45.0000,85,0.862399,1
297,warmup,-177.0000,160,0.861968,1
298,warmup,-151.0000,96,0.861537,1
299,warmup,-757.0000,322,0.861106,1
300,warmup,-165.0000,72,0.860676,1
301,warmup,-443.0000,236,0.860245,1
302,warmup,-225.0000,189,0.859815,1
303,warmup,29.0000,49,0.859385,1
304,warmup,-125.0000,70,0.858956,1
305,warmup,-287.0000,118,0.858526,1
306,warmup,-503.0000,350,0.858097,0
307,warmup,-169.0000,152,0.857668,1
308,warmup,-353.0000,146,0.857239,1
309,warmup,-15.0000,74,0.856810,1
310,warmup,-189.0000,96,0.856382,1
311,warmup,-53.0000,36,0.855954,1
312,warmup,-195.0000,102,0.855526,1
313,warmup,-3.0000,62,0.855098,1
314,warmup,-439.0000,232,0.854671,1
315,warmup,-145.0000,90,0.854243,1
316,warmup,-99.0000,63,0.853816,1
317,warmup,-139.0000,84,0.853389,1
318,warmup,-213.0000,139,0.852962,1
319,warmup,-175.0000,120,0.852536,1
320,warmup,51.0000,84,0.852110,1
321,warmup,-113.0000,191,0.851684,1
322,warmup,-89.0000,53,0.851258,1
323,warmup,-185.0000,111,0.850832,1
324,warmup,-423.0000,273,0.850407,1
325,warmup,-541.0000,201,0.849982,1
326,warmup,-259.0000,128,0.849557,1
327,warmup,-385.0000,102,0.849132,1
328,warmup,-269.0000,138,0.848707,1
329,warmup,-89.0000,110,0.848283,1
330,warmup,-811.0000,224,0.847859,1
331,warmup,-421.0000,157,0.847435,1
332,warmup,-369.0000,162,0.847011,1
333,warmup,-33.0000,73,0.846588,1
334,warmup,-59.0000,80,0.846164,1
335,warmup,-101.0000,84,0.845741,1
336,warmup,-275.0000,163,0.845318,1
337,warmup,-67.0000,69,0.844896,1
338,warmup,-417.0000,229,0.844473,1
339,warmup,-63.0000,103,0.844051,1
340,warmup,-139.0000,65,0.843629,1
341,warmup,-289.0000,158,0.843207,1
342,warmup,-91.0000,74,0.842786,1
343,warmup,-297.0000,166,0.842364,1
344,warmup,-105.0000,69,0.841943,1
345,warmup,-67.0000,69,0.841522,1
346,warmup,-415.0000,94,0.841101,1
347,warmup,-93.0000,95,0.840681,1
348,warmup,-195.0000,140,0.840260,1
349,warmup,-93.0000,133,0.839840,1
350,warmup,15.0000,44,0.839420,1
351,warmup,-107.0000,90,0.839001,1
352,warmup,-103.0000,86,0.838581,1
353,warmup,-551.0000,249,0.838162,1
354,warmup,-499.0000,216,0.837743,1
355,warmup,-319.0000,245,0.837324,1
356,warmup,19.0000,59,0.836905,1
357,warmup,-247.0000,211,0.836487,1
358,warmup,-543.0000,317,0.836068,1
359,warmup,-19.0000,59,0.835650,1
360,warmup,-155.0000,100,0.835233,1
361,warmup,27.0000,51,0.834815,1
362,warmup,25.0000,53,0.834398,1
363,warmup,-193.0000,138,0.833980,1
364,warmup,-97.0000,80,0.833563,1
365,warmup,-273.0000,142,0.833147,1
366,warmup,-199.0000,125,0.832730,1
367,warmup,21.0000,38,0.832314,1
368,warmup,-249.0000,118,0.831898,1
369,warmup,-139.0000,122,0.831482,1
370,warmup,-5.0000,64,0.831066,1
371,warmup,-79.0000,62,0.830650,1
372,warmup,-353.0000,203,0.830235,1
373,warmup,-111.0000,75,0.829820,1
374,warmup,-93.0000,95,0.829405,1
375,warmup,-219.0000,183,0.828990,1
376,warmup,-263.0000,151,0.828576,1
377,warmup,-79.0000,119,0.828161,1
378,warmup,-257.0000,126,0.827747,1
379,warmup,-35.0000,56,0.827334,1
380,warmup,-31.0000,109,0.826920,1
381,warmup,-29.0000,69,0.826506,1
382,warmup,51.0000,46,0.826093,1
383,warmup,61.0000,36,0.825680,1
384,warmup,-105.0000,69,0.825267,1
385,warmup,-375.0000,225,0.824855,1
386,warmup,-343.0000,250,0.824442,1
387,warmup,-131.0000,114,0.824030,1
388,warmup,-25.0000,84,0.823618,1
389,warmup,-155.0000,138,0.823206,1
390,warmup,-129.0000,112,0.822795,1
391,warmup,83.0000,33,0.822383,1
392,warmup,-261.0000,130,0.821972,1
393,warmup,-149.0000,113,0.821561,1
394,warmup,15.0000,63,0.821150,1
395,warmup,-157.0000,83,0.820740,1
396,warmup,-59.0000,99,0.820329,1
397,warmup,-149.0000,113,0.819919,1
398,warmup,29.0000,87,0.819509,1
399,warmup,-309.0000,102,0.819099,1
400,warmup,-87.0000,108,0.818690,1
401,warmup,-21.0000,80,0.818280,1
402,warmup,-93.0000,95,0.817871,1
403,warmup,-257.0000,202,0.817462,1
404,warmup,-171.0000,97,0.817054,1
405,warmup,-245.0000,171,0.816645,1
406,warmup,-379.0000,191,0.816237,1
407,warmup,49.0000,48,0.815829,1
408,warmup,-153.0000,79,0.815421,1
409,warmup,59.0000,38,0.815013,1
410,warmup,-275.0000,125,0.814606,1
411,warmup,-45.0000,123,0.814198,1
412,warmup,-269.0000,195,0.813791,1
413,warmup,-49.0000,70,0.813384,1
414,warmup,-49.0000,89,0.812978,1
415,warmup,-363.0000,175,0.812571,1
416,warmup,-7.0000,66,0.812165,1
417,warmup,-69.0000,90,0.811759,1
418,warmup,-99.0000,101,0.811353,1
419,warmup,-121.0000,104,0.810947,1
420,warmup,-55.0000,76,0.810542,1
421,warmup,-179.0000,67,0.810136,1
422,warmup,19.0000,59,0.809731,1
423,warmup,99.0000,36,0.809326,1
424,warmup,-15.0000,93,0.808922,1
425,warmup,55.0000,42,0.808517,1
426,warmup,-55.0000,95,0.808113,1
427,warmup,-87.0000,70,0.807709,1
428,warmup,-337.0000,130,0.807305,1
429,warmup,-197.0000,104,0.806902,1
430,warmup,5.0000,35,0.806498,1
431,warmup,17.0000,42,0.806095,1
432,warmup,-109.0000,92,0.805692,1
433,warmup,11.0000,48,0.805289,1
434,warmup,-467.0000,165,0.804886,1
435,warmup,-143.0000,69,0.804484,1
436,warmup,-347.0000,140,0.804082,1
